Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Chain,category
Seasoned Tortilla Strips,70,4.0,0.0,0.0,0,55,8,1,0,1,Chick-fil-A,Other
American Cheese,50,4.5,2.5,0.0,15,230,1,0,0,3,Chick-fil-A,Other
Bacon Topping,50,3.5,1.5,0.0,10,210,0,0,0,4,Chick-fil-A,Other
Colby Jack Cheese,80,7.0,4.0,0.0,20,140,0,0,0,5,Chick-fil-A,Other
Lettuce,5,0.0,0.0,0.0,0,5,1,0,0,0,Chick-fil-A,Other
Pepper Jack Cheese,80,6.0,4.0,0.0,20,140,0,0,0,4,Chick-fil-A,Other
Tomato,5,0.0,0.0,0.0,0,0,1,0,1,0,Chick-fil-A,Other
Saltines,50,1.0,0.0,0.0,0,180,9,0,0,1,Chick-fil-A,Other
"Chick-fil-A Cool Wrap Tray, Large",170,7.0,2.0,0.0,45,450,15,6,1,21,Chick-fil-A,Wrap
"Chick-fil-A Cool Wrap Tray, Medium",170,7.0,2.0,0.0,45,450,15,6,1,21,Chick-fil-A,Wrap
"Chick-fil-A Cool Wrap Tray, Small",170,7.0,2.0,0.0,45,450,15,6,1,21,Chick-fil-A,Wrap
"Chilled Chick-fil-A Nuggets Tray, Large",30,1.5,0.0,0.0,10,150,1,0,0,3,Chick-fil-A,Other
"Chilled Chick-fil-A Nuggets Tray, Medium",30,1.5,0.0,0.0,10,150,1,0,0,3,Chick-fil-A,Other
"Chilled Chick-fil-A Nuggets Tray, Small",30,1.5,0.0,0.0,10,150,1,0,0,3,Chick-fil-A,Other
