Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Chain,Protein per 100 Cal,Category,Size
"6"" #6 The Boss",690.0,0.0,38.0,16.0,1.0,85.0,,56.0,4.0,7,Subway,1.0144927536231882,['Combo'],N/A
"6"" #10 All-American Club",540.0,0.0,28.0,10.0,1.0,75.0,,45.0,3.0,6,Subway,1.1111111111111112,['Combo'],N/A
"6"" #11 Subway Club",500.0,0.0,24.0,8.0,1.0,75.0,,43.0,4.0,8,Subway,1.6,['Combo'],N/A
"6"" #15 Titan Turkey",500.0,0.0,23.0,7.0,1.0,65.0,,42.0,3.0,5,Subway,1.0,['Combo'],N/A
"6"" #16 All-Pro Sweet Onion Teriyaki",430.0,0.0,11.0,5.0,0.0,70.0,,56.0,4.0,20,Subway,4.651162790697675,"['Beverage', 'Combo']",N/A
"6"" #17 Garlic Roast Beef",490.0,0.0,21.0,8.0,0.0,65.0,,45.0,2.0,6,Subway,1.2244897959183674,['Combo'],N/A
"6"" #18 Ultimate B.M.T.",560.0,0.0,30.0,12.0,1.0,75.0,,45.0,3.0,5,Subway,0.8928571428571428,['Combo'],N/A
"6"" #20 Elite Chicken & Bacon Ranch",580.0,0.0,29.0,10.0,0.0,105.0,,44.0,3.0,5,Subway,0.8620689655172413,"['Chicken', 'Breakfast', 'Combo']",N/A
"6"" #21 Honey Mustard BBQ Chicken",510.0,0.0,20.0,8.0,0.0,85.0,,53.0,3.0,13,Subway,2.549019607843137,"['Chicken', 'Combo']",N/A
"6"" #22 Spicy Nacho Chicken on Ghost Pepper Bread",480.0,0.0,19.0,5.0,0.0,70.0,,51.0,3.0,6,Subway,1.25,"['Chicken', 'Combo']",N/A
"6"" #22 Spicy Nacho Chicken on Italian Bread",440.0,0.0,17.0,4.0,0.0,65.0,,49.0,3.0,5,Subway,1.1363636363636365,"['Chicken', 'Combo']",N/A
"6"" #23 Hotshot Italiano",630.0,0.0,38.0,14.0,1.0,85.0,,45.0,3.0,5,Subway,0.7936507936507936,['Combo'],N/A
"6"" #24 Firey Meatball on Ghost Pepper Bread",670.0,0.0,37.0,15.0,0.0,80.0,,57.0,5.0,9,Subway,1.3432835820895521,['Combo'],N/A
"6"" #30 The Beast",740.0,0.0,44.0,14.0,1.0,115.0,,47.0,3.0,7,Subway,0.945945945945946,['Combo'],N/A
"6"" #31 Cheesy Garlic Steak",510.0,0.0,23.0,6.0,0.0,70.0,,49.0,3.0,5,Subway,0.9803921568627451,"['Beverage', 'Combo']",N/A
"6"" #34 Spicy Nacho Steak on Ghost Pepper Bread",500.0,0.0,20.0,6.0,0.0,75.0,,52.0,3.0,6,Subway,1.2,"['Beverage', 'Chicken', 'Combo']",N/A
"6"" #42 Homestyle Chicken Salad",410.0,0.0,18.0,4.0,0.0,55.0,790.0,42.0,3.0,5,Subway,1.2195121951219512,"['Chicken', 'Salad', 'Combo']",N/A
"6"" #99 Homerun Ham",510.0,0.0,24.0,8.0,0.0,65.0,,45.0,2.0,6,Subway,1.1764705882352942,['Combo'],N/A
"6"" B.L.T.",370.0,0.0,15.0,5.0,0.0,35.0,730.0,42.0,2.0,5,Subway,1.3513513513513513,['Combo'],N/A
"6"" Baja Chipotle Chicken",490.0,0.0,21.0,5.0,0.0,65.0,,50.0,3.0,6,Subway,1.2244897959183674,"['Chicken', 'Combo']",N/A
"6"" Baja Chipotle Turkey",510.0,0.0,24.0,8.0,1.0,60.0,,49.0,3.0,5,Subway,0.9803921568627451,['Combo'],N/A
"6"" Big Hot Pastrami",510.0,0.0,27.0,9.0,0.0,80.0,,43.0,2.0,5,Subway,0.9803921568627451,['Combo'],N/A
"6"" Black Forest Ham",280.0,0.0,5.0,1.0,0.0,30.0,850.0,42.0,4.0,7,Subway,2.5,['Combo'],N/A
